39,,,,,
データベースにおける外部スキーマを説明したものはどれか？,ユーザーから見れるビューなどが外部スキーマにあたる,開発者から見れるデータの物理配置などが外部スキーマにあたる,開発者から見れるテーブル定義などが外部スキーマにあたる,ユーザーから見れるデータの物理配置などが外部スキーマにあたる,1
ザックマンモデルについて説明したものはどれか？,EAの基礎となっているフレームワーク、5種類の異なる立場の視点とそれぞれの5W1Hの側面から分析記述する手法,対象業務を情報システムやDBMSにおける抽象的な形式としてモデル化したもの ,対象の理想的な将来像・目標を表現するモデル ,中身を「モデル（Model）」「ビュー（View）」「コントローラ（Controller）」の3つに分類したもの,1
企業のWebサイトに接続してWebページを改ざんし，システムの使用目的に反する動作をさせて業務を妨害する行為を処罰の対象とする法律はどれか。,刑法,特定商取引法,プロバイダ責任制限法,不正競争防止法,1
ドローンなどで飛行方向の制御に使用されるセンサーはどれか。,地磁気センサ,気圧センサ,ジャイロセンサ,超音波センサ,1
組織やその活動について何らかの関わりや影響があり、利益を得たり損害を被る人や組織などのことを説明したものはどれか,ステークホルダ,コアコンピタンス,インサイダー,クリエイティブコモンズ,1
ISO 21500によれば，組織としての標準化，プロジェクトマネジメントの教育訓練，プロジェクトの監視などの役割を主として担うのはどれか。,プロジェクトスポンサ,プロジェクトマネージャ,プロジェクトマネジメントオフィス,プロジェクトマネジメントチーム,3
コアコンピタンスに該当するものはどれか。,主な事業ドメインの高い成長率,競合他社よりも効率性が高い生産システム,参入を予定している事業分野の競合状況,収益性が高い事業分野での市場シェア,2
再帰的な処理を実現するためには，再帰的に呼び出したときのレジスタ及びメモリの内容を保存しておく必要がある。そのための記憶管理方式はどれか。,FIFO,LFU,LIFO,LRU,3
要件定義において，利用者や外部システムと，業務の機能を分離して表現することで，利用者を含めた業務全体の範囲を明らかにするために使用される図はどれか。,アクティビティ図,オブジェクト図,クラス図,ユースケース図,4
ROIは次のうちどれか,投資収益率,自己資本利益率,株価収益率,今期増益率,1
UTF-8について説明したものはどれか,"1文字を1バイト（または6バイト）までの可変長で表現しており,ASCIIと上位互換性がある。",2バイトで表現する領域に収まらない文字は、上位サロゲートと下位サロゲートを組み合わせて4バイトで表現する,ASCII文字だけを使用することが前提の電子メールで使用するために7ビットで表現する,各符号位置が4バイトの固定長で表現される符号化形式である。,1
モジュール分割手法の一つであり、データの入力、変換、出力の３つに分割する手法はどれか。,STS分割法,TR分割法,ワーニエ法,ジャクソン法,1
モジュール分割手法の一つであり、データを処理するトランザクションに着目して一連の処理をトランザクション単位にまとめてモジュールに分類する手法はどれか。,STS分割法,TR分割法,ワーニエ法,ジャクソン法,2
モジュール分割手法の一つであり、入力データの構造を分析してプログラム構造を決定している手法はどれか。,TR分割法,ワーニエ法,ジャクソン法,共通機能分割法,2
モジュール分割手法の一つであり、入出力データの構造を分析してプログラム構造を決定していく手法はどれか。,TR分割法,ワーニエ法,ジャクソン法,共通機能分割法,3
モジュール分割手法の一つであり、プログラムの中の様々な箇所で共通して行われる処理をモジュールとして切り出す手法はどれか。,TR分割法,ワーニエ法,ジャクソン法,共通機能分割法,4
三層クライアントサーバシステムを構成する3層の組み合わせとして正しいものはどれか。,データベースサーバー層、アプリケーションサーバ層、クライアント層,セッション層、トランスポート層、ネットワーク層,プレゼンテーション層、データベースサーバ層、アプリケーションサーバ層,概念スキーマ層、外部スキーマ層、内部スキーマ層,1
LRUについて説明したものはどれか。,使われた回数がもっとも少ないものを入れ替える仕組み,使われてから最も時間がたったものを入れ替える仕組み,最初に読み込まれたものを最初に入れ替える仕組み,もっとも新しく読み込まれたものを入れ替える仕組み,2
CPUのプログラムレジスタの役割はどれか,演算を行うために、メモリから読みだしたデータを保持する,条件付き分岐命令を実行するために、演算結果の状態を保持する,命令のデコードを行うために、メモリから読みだした命令を保持する,命令を読み出すために、次の命令が格納されたアドレスを保持する,4
CPUの汎用レジスタの役割はどれか,演算を行うために、メモリから読みだしたデータを保持する,条件付き分岐命令を実行するために、演算結果の状態を保持する,命令のデコードを行うために、メモリから読みだした命令を保持する,命令を読み出すために、次の命令が格納されたアドレスを保持する,1
CPUの命令レジスタの役割はどれか,演算を行うために、メモリから読みだしたデータを保持する,条件付き分岐命令を実行するために、演算結果の状態を保持する,命令のデコードを行うために、メモリから読みだした命令を保持する,命令を読み出すために、次の命令が格納されたアドレスを保持する,3
CPUのアキュムレータの役割はどれか,演算を行うために、メモリから読みだしたデータを保持する,条件付き分岐命令を実行するために、演算結果の状態を保持する,命令のデコードを行うために、メモリから読みだした命令を保持する,命令を読み出すために、次の命令が格納されたアドレスを保持する,2
システムの信頼性に関する記述のうち、フェールオーバの説明はどれか,障害が発生した場合でも、処理やデータを他の処理装置に自動的に引き継ぎ、切替呂氏を意識させない,障害が発生した場合に、それが原因で危険な結果にならないよう、常に安全側の状態にする,人間の過失などが原因で予期されない使い方をしても、信頼性や安全性を損なわない,部品やサブシステムに信頼性の高いものを用いることによって、システム自体の故障発生を極力少なくする,1
システムの信頼性に関する記述のうち、フェールセーフの説明はどれか,障害が発生した場合でも、処理やデータを他の処理装置に自動的に引き継ぎ、切替呂氏を意識させない,障害が発生した場合に、それが原因で危険な結果にならないよう、常に安全側の状態にする,人間の過失などが原因で予期されない使い方をしても、信頼性や安全性を損なわない,部品やサブシステムに信頼性の高いものを用いることによって、システム自体の故障発生を極力少なくする,2
システムの信頼性に関する記述のうち、フールプルーフの説明はどれか,障害が発生した場合でも、処理やデータを他の処理装置に自動的に引き継ぎ、切替呂氏を意識させない,障害が発生した場合に、それが原因で危険な結果にならないよう、常に安全側の状態にする,人間の過失などが原因で予期されない使い方をしても、信頼性や安全性を損なわない,部品やサブシステムに信頼性の高いものを用いることによって、システム自体の故障発生を極力少なくする,3
システムの信頼性に関する記述のうち、フォールトアボイダンスの説明はどれか,障害が発生した場合でも、処理やデータを他の処理装置に自動的に引き継ぎ、切替呂氏を意識させない,障害が発生した場合に、それが原因で危険な結果にならないよう、常に安全側の状態にする,人間の過失などが原因で予期されない使い方をしても、信頼性や安全性を損なわない,部品やサブシステムに信頼性の高いものを用いることによって、システム自体の故障発生を極力少なくする,4
END,END,END,END,END,1
